tuple1,tuple2
"Last night I decided to watch the prequel or shall I say the so called prequel to Carlito's Way - ""Carlito's Way: Rise to Power (2005)"" which went straight to DVD...no wonder.....it completely...and I mean completely S%&KS!!! waist of time watching it and I think it would be a pure waist of time writing about it.... I don't understand how De Palma agreed on producing this sh#t-fest of a movie....except ...","I'm a big fan of the TV series Largo Winch. This movie was pain for me. I had to use fast forward not to fell to sleep. It was boring! How can somebody ruin this title so much? The story was the only good thing. Actors were sh.t. They can't live the role. The main actor(Tom... ) is a null. Watch the other roles of this actor. The fighting scenes were unbelievable boring and not to followable,somehow they ..."
"Last night I decided to watch the prequel or shall I say the so called prequel to Carlito's Way - ""Carlito's Way: Rise to Power (2005)"" which went straight to DVD...no wonder.....it completely...and I mean completely S%&KS!!! waist of time watching it and I think it would be a pure waist of time writing about it.... I don't understand how De Palma agreed on producing this sh#t-fest of a movie....except ...","I had to watch this in school. And to sum it up...<br /><br />Talentless actors, talentless script, and a talentless director.<br /><br />This movie is such a waste of your time. Don't even watch the movie. Don't bother. You will be so disappointed. My teacher said it was supposed to be good. How wrong she was. She even slept through it a little. The movie's actors were just bad. The best actor in ..."
"Last night I decided to watch the prequel or shall I say the so called prequel to Carlito's Way - ""Carlito's Way: Rise to Power (2005)"" which went straight to DVD...no wonder.....it completely...and I mean completely S%&KS!!! waist of time watching it and I think it would be a pure waist of time writing about it.... I don't understand how De Palma agreed on producing this sh#t-fest of a movie....except ...","As a young black/latina woman I am always searching for movies that represent the experiences and lives of people like me. Of course when I saw this movie at the video store I thought I would enjoy it; unfortunately, I didn't. Although the topics presented in the film are interesting and relevant, the story was simply not properly developed. The movie just kept dragging on and on and many of the characters that appear on screen just come and go without much to contribute to the overall film. Had ..."
"Last night I decided to watch the prequel or shall I say the so called prequel to Carlito's Way - ""Carlito's Way: Rise to Power (2005)"" which went straight to DVD...no wonder.....it completely...and I mean completely S%&KS!!! waist of time watching it and I think it would be a pure waist of time writing about it.... I don't understand how De Palma agreed on producing this sh#t-fest of a movie....except ...","The good news is a movie was made, drawing on a supposed Aztec myth and featuring an unusually Aztec-American (is such a word exists) cast. The bad news is, it was dead at birth.<br /><br />If Ed Wood had come out of retirement and coached George Romaro through his classic 'Night of the Living Dead,' this is what we might have come up with. 'The Legend of Diablo' is clearly fodder for any future resurrections of 'Mystery Science ..."
"Last night I decided to watch the prequel or shall I say the so called prequel to Carlito's Way - ""Carlito's Way: Rise to Power (2005)"" which went straight to DVD...no wonder.....it completely...and I mean completely S%&KS!!! waist of time watching it and I think it would be a pure waist of time writing about it.... I don't understand how De Palma agreed on producing this sh#t-fest of a movie....except ...","Please, spare me of these movies that teach us that crime is fun and justified. Couple that with a vacuous script with an intense desire to be a Farrelly or a Coen brother, plus the lives of yet ANOTHER group of supposedly high school age people acting out their Dawson Creek-brand teen angst complete with a GenXYZ soundtrack that woefully tries to make the movie ""feel"" cool and, we have intensely and painfully inept satire.<br /><br />This isn't even water ..."
"Last night I decided to watch the prequel or shall I say the so called prequel to Carlito's Way - ""Carlito's Way: Rise to Power (2005)"" which went straight to DVD...no wonder.....it completely...and I mean completely S%&KS!!! waist of time watching it and I think it would be a pure waist of time writing about it.... I don't understand how De Palma agreed on producing this sh#t-fest of a movie....except ...","Contrary to my principles, let me first come up with a conclusion, because I have just seen this piece of ""art"", and still am under strong impressions. The reader is asked to excuse my stronger vocabulary.<br /><br />Well, this movie is absolutely horrible, and I would never bother to write a single word about it, if it were not for the fact that ""44 Minutes"" made me sick to death, which rarely happens to me. The fact that I paid for that does ..."
"I have to admit that i liked the first half of Sleepers. It looked good, the acting was even better, the story of childhood, pain and revenge was interesting and moving. A superior hollywood film. But...No one mentioned this so far (at least in the latest 20 comments), when it came to the courtroom scenes and Brat Pitt´s character followed his plan to rescue his two friends, who are rightly accused of murder, i felt cheated. This movie insulted my intelligence ...","As a young black/latina woman I am always searching for movies that represent the experiences and lives of people like me. Of course when I saw this movie at the video store I thought I would enjoy it; unfortunately, I didn't. Although the topics presented in the film are interesting and relevant, the story was simply not properly developed. The movie just kept dragging on and on and many of the characters that appear on screen just come and go without much to contribute to the overall film. Had ..."
"I have to admit that i liked the first half of Sleepers. It looked good, the acting was even better, the story of childhood, pain and revenge was interesting and moving. A superior hollywood film. But...No one mentioned this so far (at least in the latest 20 comments), when it came to the courtroom scenes and Brat Pitt´s character followed his plan to rescue his two friends, who are rightly accused of murder, i felt cheated. This movie insulted my intelligence ...","... to not live in Montana and especially not to live there at the end of the 19th century.<br /><br />""A river runs through it"" certainly is a well made movie from a cineastic stand-point. Great landscapes, Redford acting well.<br /><br />Unfortunately, the story is bad (if there is a story at all).<br /><br />I felt sorry for the narrator / author, who is as dry, narrow-minded a character as his father, ..."
"I was not impressed about this film especially for the fact that I went to the cinema with my family in good faith to see a film which was certificate rated 12A here in the UK. To my dismay, this film was full of embarrassing sexual jokes. (Which is not a problem to me as an adult, but not good for watching with children). This film at times was very crude at times with fart jokes, getting hit in the groin etc... and for the most part of the film ...","Terrible use of scene cuts. All continuity is lost, either by awful scripting or lethargic direction. That villainous robot... musta been a jazz dancer? Also, one of the worst sound tracks I've ever heard (monologues usually drowned out by music.) And... where'd they get their props? That ship looks like a milk carton... I did better special effects on 8mm at the age of 13!<br /><br />I'd recommend any film student ..."
"I was not impressed about this film especially for the fact that I went to the cinema with my family in good faith to see a film which was certificate rated 12A here in the UK. To my dismay, this film was full of embarrassing sexual jokes. (Which is not a problem to me as an adult, but not good for watching with children). This film at times was very crude at times with fart jokes, getting hit in the groin etc... and for the most part of the film ...","To the small minority seen here praising this film GET SERIOUS. I know it's down to peoples personal opinion at the end of the day, but anyone with more than a couple of brain cells can surely see that this is total rubbish. So bad it does not deserve to be part of this franchise. I can only assume those saying how great this is are friends with somebody involved in the film and are trying to give their career a push. Poor in every way, don't con people by saying ..."
"I was not impressed about this film especially for the fact that I went to the cinema with my family in good faith to see a film which was certificate rated 12A here in the UK. To my dismay, this film was full of embarrassing sexual jokes. (Which is not a problem to me as an adult, but not good for watching with children). This film at times was very crude at times with fart jokes, getting hit in the groin etc... and for the most part of the film ...","Otherwise it is one of the worst movies I've ever seen - and I mean ever. My wife and I were both bored out of our minds within 10 minutes. Not to mention being boring, it is entirely unbelievable. Women (non-lesbian) don't bathe together - nor do they ""accidentally"" kiss. Brothers and sisters don't live together well into their 30s and run around swing dancing together and engaging in footraces in central park. Men don't find ..."
"I was not impressed about this film especially for the fact that I went to the cinema with my family in good faith to see a film which was certificate rated 12A here in the UK. To my dismay, this film was full of embarrassing sexual jokes. (Which is not a problem to me as an adult, but not good for watching with children). This film at times was very crude at times with fart jokes, getting hit in the groin etc... and for the most part of the film ...","The Western society has been fed ideas about India being a poor country. Movies like these only make those beliefs stronger. Such illustrations make it all the more difficult for Indians to be accepted abroad. Agreed there are poor and homeless in India, but why is there no representation of educated people if not the successful ones.<br /><br />I totally hated the idea of the movie portraying Patrick Swayze as another Mother Teressa. In my opinion this movie has shown India in a very bad light giving ..."
"I was not impressed about this film especially for the fact that I went to the cinema with my family in good faith to see a film which was certificate rated 12A here in the UK. To my dismay, this film was full of embarrassing sexual jokes. (Which is not a problem to me as an adult, but not good for watching with children). This film at times was very crude at times with fart jokes, getting hit in the groin etc... and for the most part of the film ...",The plot is rocky. The acting is somewhere south of a Jr. High School play. The cinematography is not bad but it looks like it was cut with a machete. I couldn't decide of this was an intentionally hokey flick or if the people behind it actually thought they were making a good film. Think Death Valley Days meets Mayberry RFD. People running around in a 'lawless' modern town wearing quick-draw 6 gun rigs. It has more than its fair share ...
"The original movie, The Odd Couple, has some wonderful comic one-liners. The entire world it seems knows the story of neurotic neat-freak Felix Ungar and funny, obnoxious, slob Oscar Madison. This paring of mismatched roommates created one of the most successful TV series of all time as well as countless, not anywhere near as good, imitations.<br /><br />The Odd Couple movie has some wonderful jokes about Oscar's apartment and his sloppy habits. He says ...","This movie is among my favorite foreign films, some of the others are Amilee and My Life As a Dog. The similarities with those movies as with so many great foreign films, is that it takes a mundane slice of life and transforms it into a profound heartfelt lesson. <br /><br />In Japan, a man who is bored with his mundane life and the rut of his married life, sees a beautiful Japanese woman staring out the window of a dance studio. In the instant that it takes his ..."
"The original movie, The Odd Couple, has some wonderful comic one-liners. The entire world it seems knows the story of neurotic neat-freak Felix Ungar and funny, obnoxious, slob Oscar Madison. This paring of mismatched roommates created one of the most successful TV series of all time as well as countless, not anywhere near as good, imitations.<br /><br />The Odd Couple movie has some wonderful jokes about Oscar's apartment and his sloppy habits. He says ...","House of Games is a wonderful movie at multiple levels. It is a fine mystery and a shocking thriller. It is blessed with marvelous performances by Lindsay Crouse and Joe Montegna, and a strong, strong cast of supporting players, and it introduces Ricky Jay, card sharp extraordinaire, prestidigitator and historian of magic. Its dialogue, written by David Mamet, is spoken as if in a play of manners and gives the movie (in which reality is often in question) ..."
"The original movie, The Odd Couple, has some wonderful comic one-liners. The entire world it seems knows the story of neurotic neat-freak Felix Ungar and funny, obnoxious, slob Oscar Madison. This paring of mismatched roommates created one of the most successful TV series of all time as well as countless, not anywhere near as good, imitations.<br /><br />The Odd Couple movie has some wonderful jokes about Oscar's apartment and his sloppy habits. He says ...","Another in the they don't make em like that category. This story of a family with some real skeletons in its closet still qualifies as good clean, sometimes over-the-top fun. Robert Stack and Dorothy Malone are at their peak as the troubled Hadley siblings, and they really took the roles and ran with them. Malone won an Oscar and Stack was nominated in the supporting categories, both honors being eminently well-deserved. They counterbalance the somewhat bland leads. Neither Bacall nor Hudson could ever ..."
"The original movie, The Odd Couple, has some wonderful comic one-liners. The entire world it seems knows the story of neurotic neat-freak Felix Ungar and funny, obnoxious, slob Oscar Madison. This paring of mismatched roommates created one of the most successful TV series of all time as well as countless, not anywhere near as good, imitations.<br /><br />The Odd Couple movie has some wonderful jokes about Oscar's apartment and his sloppy habits. He says ...","At your video store, you might find this gem.<br /><br />The human condition in modern times LA. No exaggerated drama, just a collapsing of events that might happen to any group of individuals over time.<br /><br />Helps you understand the joys and desperation of urban life.<br /><br />The direction and cutting are top class. Cinematography and music very much follows the mood and situation. And the CAST!!! <br /><br />Excellent casting and excellent acting. No ..."
"The original movie, The Odd Couple, has some wonderful comic one-liners. The entire world it seems knows the story of neurotic neat-freak Felix Ungar and funny, obnoxious, slob Oscar Madison. This paring of mismatched roommates created one of the most successful TV series of all time as well as countless, not anywhere near as good, imitations.<br /><br />The Odd Couple movie has some wonderful jokes about Oscar's apartment and his sloppy habits. He says ...","Dick Tracy is easily the best comic book based movie made to date. The movie has the same feel as the comic book, staying true to the color scheme. The Batman series has climbed, fallen, climbed and fallen again. Dick Tracy has true staying power as something that both adults and children can enjoy. The good guys triumph over evil, without blood and gore to get the point across. Al Pacino does a wonderful job of his own adaptation of Big Boy Caprice and Madonna is memorable as Breath ..."
"The original movie, The Odd Couple, has some wonderful comic one-liners. The entire world it seems knows the story of neurotic neat-freak Felix Ungar and funny, obnoxious, slob Oscar Madison. This paring of mismatched roommates created one of the most successful TV series of all time as well as countless, not anywhere near as good, imitations.<br /><br />The Odd Couple movie has some wonderful jokes about Oscar's apartment and his sloppy habits. He says ...","The word 'classic' is thrown around too loosely nowadays, but this movie well deserves the appelation. The combination of Neil Simon, Walter Matthau (possibly the world's best living comic actor), and the late lamented George Burns make for a comic masterpiece. It is interesting to contemplate what the movie would have been like had not death prevented Jack Benny from playing George Burns' part, as had been planned. As it is, the reunion scene in Matthau's apartment is not likely to be ..."
"This was a great movie with a good cast, all of them hitting on all cylinders. And when Dianne Keaton is at her best, well, it just doesn't get any better than that. But Tom Everett Scott, always underrated, was even better. He should be a star. <br /><br />My only complaint is with one aspect of the screenplay. None of the characters ever acknowledged that the dead daughter wasn't always a good person. And neither was her mother, played by ...","This movie is among my favorite foreign films, some of the others are Amilee and My Life As a Dog. The similarities with those movies as with so many great foreign films, is that it takes a mundane slice of life and transforms it into a profound heartfelt lesson. <br /><br />In Japan, a man who is bored with his mundane life and the rut of his married life, sees a beautiful Japanese woman staring out the window of a dance studio. In the instant that it takes his ..."
"This was a great movie with a good cast, all of them hitting on all cylinders. And when Dianne Keaton is at her best, well, it just doesn't get any better than that. But Tom Everett Scott, always underrated, was even better. He should be a star. <br /><br />My only complaint is with one aspect of the screenplay. None of the characters ever acknowledged that the dead daughter wasn't always a good person. And neither was her mother, played by ...","House of Games is a wonderful movie at multiple levels. It is a fine mystery and a shocking thriller. It is blessed with marvelous performances by Lindsay Crouse and Joe Montegna, and a strong, strong cast of supporting players, and it introduces Ricky Jay, card sharp extraordinaire, prestidigitator and historian of magic. Its dialogue, written by David Mamet, is spoken as if in a play of manners and gives the movie (in which reality is often in question) ..."
"This was a great movie with a good cast, all of them hitting on all cylinders. And when Dianne Keaton is at her best, well, it just doesn't get any better than that. But Tom Everett Scott, always underrated, was even better. He should be a star. <br /><br />My only complaint is with one aspect of the screenplay. None of the characters ever acknowledged that the dead daughter wasn't always a good person. And neither was her mother, played by ...","Another in the they don't make em like that category. This story of a family with some real skeletons in its closet still qualifies as good clean, sometimes over-the-top fun. Robert Stack and Dorothy Malone are at their peak as the troubled Hadley siblings, and they really took the roles and ran with them. Malone won an Oscar and Stack was nominated in the supporting categories, both honors being eminently well-deserved. They counterbalance the somewhat bland leads. Neither Bacall nor Hudson could ever ..."
"This was a great movie with a good cast, all of them hitting on all cylinders. And when Dianne Keaton is at her best, well, it just doesn't get any better than that. But Tom Everett Scott, always underrated, was even better. He should be a star. <br /><br />My only complaint is with one aspect of the screenplay. None of the characters ever acknowledged that the dead daughter wasn't always a good person. And neither was her mother, played by ...","Pushing Daisies is just a lovely fairy tale, with shades of ""Amelie""'s aesthetic and romance. It's got a beautiful palette, its shots well thought out and detailed, its names and dialogue whimsical and too cutesy to be real, its imagination great, and its romance deep.<br /><br />Watch the blue in the sky pop out at you, as blue can't be found in the rest of the sets or shots (with few exceptions).<br ..."
"This was a great movie with a good cast, all of them hitting on all cylinders. And when Dianne Keaton is at her best, well, it just doesn't get any better than that. But Tom Everett Scott, always underrated, was even better. He should be a star. <br /><br />My only complaint is with one aspect of the screenplay. None of the characters ever acknowledged that the dead daughter wasn't always a good person. And neither was her mother, played by ...","As many reviewers here have noted, the film version differs quite a bit from the stage version of the story. I have never seen the stage version of the story, and therefore I have a more favorable review of the film than many other reviewers. Perhaps Richard Attenborough was not the best choice for director of the film, but the film is still an entertaining account of several dancers trying to make the big time in choreographer Michael Douglas' show. The film does right by not selecting any famous actors ..."
"This was a great movie with a good cast, all of them hitting on all cylinders. And when Dianne Keaton is at her best, well, it just doesn't get any better than that. But Tom Everett Scott, always underrated, was even better. He should be a star. <br /><br />My only complaint is with one aspect of the screenplay. None of the characters ever acknowledged that the dead daughter wasn't always a good person. And neither was her mother, played by ...","Everyone has already commented on the cinematography (good to great), the personalities (larger than life), the structure (chronological, with many references to surf culture through time). What is missed is a bigger question of sociological importance: chucking mainstream American culture for something more fulfilling and rewarding.<br /><br />I was a surfer in the 1970s. We used to watch 16mm films at the local high schools in SoCal. I remember the great feeling of surfing ..."
"This was a great movie with a good cast, all of them hitting on all cylinders. And when Dianne Keaton is at her best, well, it just doesn't get any better than that. But Tom Everett Scott, always underrated, was even better. He should be a star. <br /><br />My only complaint is with one aspect of the screenplay. None of the characters ever acknowledged that the dead daughter wasn't always a good person. And neither was her mother, played by ...","At your video store, you might find this gem.<br /><br />The human condition in modern times LA. No exaggerated drama, just a collapsing of events that might happen to any group of individuals over time.<br /><br />Helps you understand the joys and desperation of urban life.<br /><br />The direction and cutting are top class. Cinematography and music very much follows the mood and situation. And the CAST!!! <br /><br />Excellent casting and excellent acting. No ..."
"This was a great movie with a good cast, all of them hitting on all cylinders. And when Dianne Keaton is at her best, well, it just doesn't get any better than that. But Tom Everett Scott, always underrated, was even better. He should be a star. <br /><br />My only complaint is with one aspect of the screenplay. None of the characters ever acknowledged that the dead daughter wasn't always a good person. And neither was her mother, played by ...",My brother brought this movie home from the rental store and I remember expecting it to be such a bore. I think the title especially put me off. I can't ever remember starting a movie with such low expectations and being so completely won over. I watched the movie twice before I let my brother take it back to the store. It is very infrequent that a movie speaks to me the way this one did. I was completely caught up in Ruby's situation as she tries to make her way through ...
"This was a great movie with a good cast, all of them hitting on all cylinders. And when Dianne Keaton is at her best, well, it just doesn't get any better than that. But Tom Everett Scott, always underrated, was even better. He should be a star. <br /><br />My only complaint is with one aspect of the screenplay. None of the characters ever acknowledged that the dead daughter wasn't always a good person. And neither was her mother, played by ...","Dick Tracy is easily the best comic book based movie made to date. The movie has the same feel as the comic book, staying true to the color scheme. The Batman series has climbed, fallen, climbed and fallen again. Dick Tracy has true staying power as something that both adults and children can enjoy. The good guys triumph over evil, without blood and gore to get the point across. Al Pacino does a wonderful job of his own adaptation of Big Boy Caprice and Madonna is memorable as Breath ..."
"This was a great movie with a good cast, all of them hitting on all cylinders. And when Dianne Keaton is at her best, well, it just doesn't get any better than that. But Tom Everett Scott, always underrated, was even better. He should be a star. <br /><br />My only complaint is with one aspect of the screenplay. None of the characters ever acknowledged that the dead daughter wasn't always a good person. And neither was her mother, played by ...","The word 'classic' is thrown around too loosely nowadays, but this movie well deserves the appelation. The combination of Neil Simon, Walter Matthau (possibly the world's best living comic actor), and the late lamented George Burns make for a comic masterpiece. It is interesting to contemplate what the movie would have been like had not death prevented Jack Benny from playing George Burns' part, as had been planned. As it is, the reunion scene in Matthau's apartment is not likely to be ..."
"This was a great movie with a good cast, all of them hitting on all cylinders. And when Dianne Keaton is at her best, well, it just doesn't get any better than that. But Tom Everett Scott, always underrated, was even better. He should be a star. <br /><br />My only complaint is with one aspect of the screenplay. None of the characters ever acknowledged that the dead daughter wasn't always a good person. And neither was her mother, played by ...","The best Treasure Island ever made. They just don't make films<br /><br />like this anymore, or ever. No one makes films like this. More<br /><br />than a novelty, this film is funny, frank and fascinating, yet moody,<br /><br />mysterious and morose. This is one of my favorite pictures. The<br /><br />director must have had some idea what it is all about, but he<br /><br />certainly leaves room for ..."
"This was a great movie with a good cast, all of them hitting on all cylinders. And when Dianne Keaton is at her best, well, it just doesn't get any better than that. But Tom Everett Scott, always underrated, was even better. He should be a star. <br /><br />My only complaint is with one aspect of the screenplay. None of the characters ever acknowledged that the dead daughter wasn't always a good person. And neither was her mother, played by ...","Besides the fact that my list of favorite movie makers is: 1)Stanley Kubrick 2)God Allmighty 3)the rest... this movie actually is better than the book (and the TV miniseries though this is an easy feat, considering the director). The flawless filming stile, the acting and (Kubrick's all time number one skill) the music - make it THE masterpiece of horror. I watched the TV miniseries a few years ago and liked ..."
"I'm a sucker for a good romance, but this one doesn't qualify as either good or a romance. I had the plot nailed down before the credits were through. With such poor dialog, plot and character development, I suggest investing your hour and a half elsehere. I had to rush out and rent Serendipity for the third time so I could get the bad taste of this one out of my mouth.","CQ could have been good, campy fun. But it commits the only unforgivable sin: it is b-o-r-i-n-g! The pace is deadly slow and the plot is fairly confused and so artificial that it's next to impossible to care where it's going. The story would have been acceptable in a creative writing class from a thoughtful and sensitive eighth grader but this video should have carried a warning label: ""CAUTION: Student film. Fit for viewing only by relatives of ..."
"I'm a sucker for a good romance, but this one doesn't qualify as either good or a romance. I had the plot nailed down before the credits were through. With such poor dialog, plot and character development, I suggest investing your hour and a half elsehere. I had to rush out and rent Serendipity for the third time so I could get the bad taste of this one out of my mouth.","Terrible use of scene cuts. All continuity is lost, either by awful scripting or lethargic direction. That villainous robot... musta been a jazz dancer? Also, one of the worst sound tracks I've ever heard (monologues usually drowned out by music.) And... where'd they get their props? That ship looks like a milk carton... I did better special effects on 8mm at the age of 13!<br /><br />I'd recommend any film student ..."
"I'm a sucker for a good romance, but this one doesn't qualify as either good or a romance. I had the plot nailed down before the credits were through. With such poor dialog, plot and character development, I suggest investing your hour and a half elsehere. I had to rush out and rent Serendipity for the third time so I could get the bad taste of this one out of my mouth.","(There isn't much in the way of spoilers, since there isn't a plot to reveal, but still, I guess I describe some of what happens so...) This is it. This is THE most nonsensical film I've ever seen. There are simply no words to describe this movie, although ""bizarre"" ""ridiculous"" and ""ego trip"" are pretty close. the opening half hour or so are really, really weird music videos, with absolutely no plot or continuity, ..."
"I'm a sucker for a good romance, but this one doesn't qualify as either good or a romance. I had the plot nailed down before the credits were through. With such poor dialog, plot and character development, I suggest investing your hour and a half elsehere. I had to rush out and rent Serendipity for the third time so I could get the bad taste of this one out of my mouth.","To the small minority seen here praising this film GET SERIOUS. I know it's down to peoples personal opinion at the end of the day, but anyone with more than a couple of brain cells can surely see that this is total rubbish. So bad it does not deserve to be part of this franchise. I can only assume those saying how great this is are friends with somebody involved in the film and are trying to give their career a push. Poor in every way, don't con people by saying ..."
"I'm a sucker for a good romance, but this one doesn't qualify as either good or a romance. I had the plot nailed down before the credits were through. With such poor dialog, plot and character development, I suggest investing your hour and a half elsehere. I had to rush out and rent Serendipity for the third time so I could get the bad taste of this one out of my mouth.","I'm a big fan of the TV series Largo Winch. This movie was pain for me. I had to use fast forward not to fell to sleep. It was boring! How can somebody ruin this title so much? The story was the only good thing. Actors were sh.t. They can't live the role. The main actor(Tom... ) is a null. Watch the other roles of this actor. The fighting scenes were unbelievable boring and not to followable,somehow they ..."
"I'm a sucker for a good romance, but this one doesn't qualify as either good or a romance. I had the plot nailed down before the credits were through. With such poor dialog, plot and character development, I suggest investing your hour and a half elsehere. I had to rush out and rent Serendipity for the third time so I could get the bad taste of this one out of my mouth.","I was searching through Hollywood video last night with a friend trying to find a good-looking horror movie to watch over the New Year's weekend. As I was looking through the shelves, ""Severed"" spotted my eye, and I grabbed it off the shelf and it looked like it might be a decent B-grade horror movie. The cover looked fairly good. The plot sounded semi-interesting. So I rented it. What a mistake. Don't be fooled by the cover, which actually looks decent ..."
